Rank,TeamName,Score,Parameters,GPUMemoryGb,SubmissionCount
1,"BlackPearl",0.78486,6000000000,640,153
2,Cristiano,0.77603,0,0,103
3,M1stic,0.77084,0,0,133
4,"Kozuki Cats",0.76742,0,0,60
5,"DeepMayNotLearn",0.76562,0,0,192
6,AGreat,0.76475,0,0,87
7,bisad,0.75785,0,24,30
8,LoveFishO,0.75627,0,0,81
9,"Leo_Lu",0.75508,0,0,74
10,chenyin,0.75433,0,0,42
11,"LGB YYDS",0.75202,1,1,50
12,Fonrac,0.75120,42,42,82
13,DOCOMOLABS,0.74495,0,0,93
14,"WhatCanISay？",0.74303,0,0,15
15,DOCOMOLABZ,0.74260,436837092,16,89
16,"把握进场时机",0.74073,1,1,46
17,qianlan,0.74041,0,0,61
18,Ranger,0.73601,0,0,24
19,fayknman,0.73243,12133000000,72,52
20,lisa,0.73202,1,1,31
21,mchotdog,0.72993,0,0,9
22,"星星呀还是那个星星哟",0.72871,0,0,49
23,"老鹰捉小鸡",0.72800,0,0,67
24,MAPA,0.72735,89,89,118
25,Moyas,0.72523,0,0,2
26,blue,0.72489,0,0,63
27,GGBOY,0.72418,0,0,46
28,ag,0.72405,0,0,70
29,yunsuxiaozi,0.72327,0,0,179
30,"Team-Torch",0.72252,0,0,17
31,122,0.71888,1,122,16
32,SuperMagnetic,0.71841,0,0,14
33,"XMU美de集团",0.71821,0,0,9
34,listenn,0.71762,0,0,10
35,Sumo,0.71612,0,0,7
36,chenfg,0.71593,0,0,9
37,"SKKU_WCJ",0.71411,0,0,10
38,dahunzi,0.71321,0,0,15
39,SeunghyeonMoon,0.71262,0,0,1
40,loone,0.71244,0,80,2
41,Zero,0.71164,1,1,13
42,tubo,0.71012,0,0,13
43,kaefer,0.70811,11,15826232051,3
44,"LLM START",0.69613,0,0,15
45,SKKU_RB,0.69603,4133378,33,7
46,whoisme,0.69369,0,0,1
47,timtian,0.68886,0,0,26
48,vinkhall,0.68779,0,0,3
49,"ICU喝小米",0.68350,3112,0,25
50,hbww,0.68320,0,0,10
51,SKKU_good,0.68226,0,0,25
52,SKKU_SKL,0.68057,0,0,2
53,Endrokos,0.67373,0,0,13
54,"*",0.67287,1000000000000000000000000000,,11
55,"SKKU_eunilkids",0.67266,0,,17
56,"SKKU_jeeunwoo",0.67163,30,,21
57,"广州不太热",0.66989,0,,54
58,"cs145_team4",0.66694,0,,10
59,FlyingDutchman,0.65859,0,,22
60,Holmes,0.65790,0,,25
61,happycat,0.65749,0,,7
62,elvali,0.64948,0,,4
63,SKKU_5,0.64011,2362368,,5
64,炼丹炉,0.63870,0,,5
65,Gym,0.63760,0,,9
66,YuLiang,0.63745,0,,12
67,111,0.63729,0,,2
68,"Robo Space",0.63298,7,,12
69,wtjgk,0.62950,1,,1
70,"cs145_team2",0.62141,0,,10
71,moniqueWong,0.62130,0,,24
72,rotteneden,0.62096,0,,4
73,ZZZZ,0.61439,0,,2
74,"McQueen ",0.61159,0,,11
75,owenusushej,0.61065,1,,8
76,"hehepig4 ",0.60911,1,,7
77,nadakk3,0.60807,0,,1
78,ceokkk,0.60807,0,,1
79,wonder_why,0.60524,1,,3
80,"脚踏实地队 ",0.60434,0,,4
81,H,0.60220,0,,2
82,weirdocurry,0.59975,0,,9
83,lun,0.59725,1,,2
84,martin14,0.59642,0,,13
85,sanahe,0.59543,0,,7
86,blameitonthemoon,0.59489,16,,5
87,awushuo,0.59489,0,,1
88,MonkeyDC,0.59489,0,,1
89,dqdwqe2231,0.59489,4000000000,,8
90,chengcc,0.59442,0,,1
91,xct,0.59427,5,,3
92,victorlee,0.59403,0,,11
93,"qyh0831 ",0.59376,3072,,1
94,BaLaLa,0.57961,0,,2
95,hassanrizvi14,0.56903,400,,3
96,edisonlee,0.56366,0,,1
97,MrAccepted,0.55912,0,,7
98,"是真捞啊",0.54223,0,,1
99,debugger,0.53436,200000,,1
100,sgdghfdh,0.52898,0,,5
101,yu1152916620,0.51500,0,,6
102,kn,0.50000,0,,1
103,sun_dewset,0.50000,0,,1
104,CH,0.50000,0,,1
105,max_niu,0.50000,0,,2
106,flyphant,0.50000,1,,1
107,canalpang,0.50000,0,,2
108,"cs145-team6 ",0.50000,0,,1
109,UCLAG7,0.50000,0,,1
110,"CS145 Team 3",0.50000,0,,1
111,🥺data,0.50000,0,,1
112,fersebas,0.50000,0,,1
113,chandeldhruvsingh,0.50000,120,,4
114,hustman,0.50000,0,,4
115,jladadawe,0.48126,0,,1
