Rank,TeamName,Score,Parameters,GPUMemoryGb,SubmissionCount
1,"BlackPearl",0.30065,170000000000,640,134
2,"Robo Space",0.24621,35000000000,48,48
3,Asprin,0.24282,70000000000,80,33
4,"PineappleHouse",0.23947,0,0,86
5,DOCOMOLABS,0.21573,7275092096,16,104
6,anaivebird,0.20900,3200000000,640,43
7,Ustc_DMC,0.20855,100000000,24,78
8,chuxiliyixiaosa,0.20811,7000000000,80,16
9,edisonlee,0.20353,0,0,120
10,Onewo,0.20237,7445801984,56,40
11,central,0.20102,2000000,32,1
12,yuzhouwa,0.20095,7,24,14
13,"不喝咖啡",0.19934,1,70,40
14,lama,0.19199,0,0,29
15,cqsss,0.19097,7,24,20
16,qianlan,0.18274,1,1,18
17,spespusliar,0.17922,1,1,17
18,crazym,0.17914,1,1,1
19,Stangerine,0.17776,0,0,24
20,Xnow,0.17736,0,0,1
21,glin,0.17663,0,0,20
22,NulltoZero,0.17609,10000000000,24,17
23,RUSH12,0.16557,100000000,24,3
24,April,0.16549,100000000,20,72
25,qing0i0,0.15620,1,24,8
26,nio,0.15197,0,0,21
27,lufiedbu,0.14974,3212,111,2
28,whoong,0.14799,1,1,4
29,bthm,0.13695,0,0,29
30,fuxinjiang,0.13562,0,0,6
31,yu1152916620,0.13320,1,1,23
32,chenyin,0.13047,0,24,4
33,Ranger,0.12869,0,0,8
34,the_catalyst,0.11902,100,48,10
35,哈哈哈,0.11747,0,0,2
36,"5G lab",0.11508,0,0,13
37,"IG NB",0.11407,380000000,24,7
38,yinli,0.10541,0,2,1
39,akashp,0.10425,0,30,3
40,zuo_0,0.10424,0,6,2
41,Nsongfosh,0.10295,1,1,1
42,"Dat-A Miner",0.09410,0,0,3
43,DOCOMOLABZ,0.08717,1,16,7
44,fiiicus,0.06567,110661888,12,1
45,orz,0.06360,0,0,5
46,cs145hhh,0.06316,2,2,2
47,CS145_team_AQA,0.05875,1,1,33
48,siyanz,0.05565,2,2,5
49,NLP,0.05278,6000000000,15690466,2
50,LoveFishO,0.04327,0,0,1
51,Tongrong,0.02532,6000000,24,1
52,tubo,0.01587,0,0,1
53,ringwraith,0.01533,0,0,4
54,猫好,0.00663,0,0,4
55,泰勒,0.00082,10000000,24,1
56,zxl_1999,0.00060,0,0,2
57,zinc,0.00058,12,12,1
58,superxiaoxin,0.00000,7000000000,24,1
59,llava9999b,0.00000,9999000000000000,99,1
