Rank,TeamName,Score,Parameters,GPUMemoryGb,SubmissionCount
1,"BlackPearl",0.52344,0,0,133
2,NJUST_KMG,0.51647,0,0,174
3,Cristiano,0.50427,0,0,77
4,"英国大力士",0.50025,0,0,44
5,chinesegpt,0.46586,0,0,129
6,🥺data,0.44278,560000000,80,20
7,DOCOMOLABZ,0.44049,659520012,16,104
8,edgeknife,0.43694,20000000,20,67
9,Heart,0.43255,21860354,80,87
10,pigpigwin,0.42815,0,0,81
11,DOCOMOLABS,0.41591,434013185,16,50
12,qqpp_run,0.39347,0,0,23
13,AoboSama,0.39237,500000,20,18
14,观想厅,0.37768,0,0,7
15,YQQL,0.37719,0,0,5
16,dataman_v,0.37687,1,1,5
17,"CS145DMiners ",0.37687,0,0,8
18,oymventas,0.37687,0,0,5
19,HenryLiu,0.37674,0,16,5
20,Egp,0.37495,0,0,5
21,houjinyu,0.37476,1,4,1
22,pstpadiwan,0.37424,1,1,5
23,zxl_1999,0.37315,0,12,33
24,rolandyang,0.37236,10,100,8
25,ikki,0.36998,0,0,14
26,LinChance,0.36145,1000000,10,6
27,zhaojiayi,0.36102,10000,24,8
28,anaivebird,0.35942,100000000,80,1
29,lalala,0.33866,0,0,2
30,Dase_PLANING,0.23004,0,0,17
31,"浅浅试试水 ",0.22686,0,0,17
32,"CS 145 PST",0.22626,110000000,16,2
33,voyager,0.21311,0,0,2
34,"wgg永不言败",0.14452,0,0,6
35,123456,0.12489,0,0,3
36,xjtu_smiles,0.11531,0,0,4
37,yanxiaohao,0.10416,0,0,2
38,lta,0.10079,1,16,11
39,RookieSC,0.09906,1,1,2
40,kn,0.03254,0,0,1
41,llava99999b,0.03254,999900000000000000,,3
42,moonjaymeng,0.03254,0,0,1
