Rank,TeamName,Score,Entries,LastSubmission
1,"MGTV-REC",0.41208,96,"Fri, 23 Jun 2023 08:04"
2,"NVIDIA-Merlin",0.41188,78,"Thu, 8 Jun 2023 13:57"
3,unirec,0.40477,48,"Fri, 9 Jun 2023 06:37"
4,gpt_bot,0.40476,55,"Fri, 9 Jun 2023 07:38"
5,LeaderboardCar,0.40339,29,"Fri, 2 Jun 2023 01:52"
6,AIDA,0.40317,58,"Fri, 9 Jun 2023 03:46"
7,piggy-po,0.39754,20,"Tue, 6 Jun 2023 23:03"
8,iCanary,0.39651,69,"Sun, 4 Jun 2023 13:26"
9,wxd1995,0.39592,14,"Fri, 9 Jun 2023 05:07"
10,xuy,0.39566,3,"Fri, 9 Jun 2023 07:00"
11,chimuichimu,0.39484,25,"Fri, 9 Jun 2023 06:33"
12,"Word2vec",0.39293,37,"Thu, 8 Jun 2023 23:00"
13,michal_daniluk,0.39115,32,"Fri, 9 Jun 2023 07:09"
14,rotto,0.39072,2,"Fri, 9 Jun 2023 06:34"
15,"[Acroquest]YAMALEX",0.38957,7,"Thu, 8 Jun 2023 22:10"
16,pony,0.38774,3,"Thu, 8 Jun 2023 01:17"
17,yes,0.38768,13,"Thu, 24 Aug 2023 04:06"
18,zhanxiage1994,0.38746,2,"Thu, 8 Jun 2023 20:49"
19,chen_yang3,0.38738,15,"Thu, 8 Jun 2023 19:29"
20,zhao_zi_hao,0.38649,17,"Wed, 7 Jun 2023 17:33"
21,kjzxzzh,0.38613,19,"Wed, 7 Jun 2023 16:42"
22,RMSprop,0.38366,7,"Thu, 8 Jun 2023 12:45"
23,HHHurricane17,0.38344,7,"Mon, 5 Jun 2023 22:57"
24,HDSB,0.38317,60,"Thu, 8 Jun 2023 06:01"
25,vicuna,0.38264,37,"Wed, 7 Jun 2023 14:19"
26,DX2,0.38055,18,"Thu, 8 Jun 2023 07:06"
27,tonghao_tan,0.38049,1,"Sun, 10 Mar 2024 11:03"
28,Backstage,0.37933,4,"Thu, 8 Jun 2023 16:11"
29,shiki,0.37913,91,"Wed, 7 Jun 2023 22:20"
30,tetsuya,0.37829,4,"Thu, 25 May 2023 21:15"
31,latent_munchkins,0.37744,1,"Sun, 28 May 2023 18:19"
32,newbee,0.37546,10,"Tue, 30 May 2023 18:35"
33,Nextime,0.37481,11,"Thu, 9 May 2024 14:19"
34,REC_GREENHAND,0.37438,135,"Fri, 9 Jun 2023 18:20"
35,"NTT-DOCOMO-LABS-BLUE",0.36897,11,"Thu, 8 Jun 2023 19:15"
36,aoaoao,0.36721,38,"Sun, 4 Jun 2023 01:13"
37,fdasfa,0.36713,30,"Sun, 4 Jun 2023 11:15"
38,MeiMu,0.36658,3,"Mon, 29 May 2023 16:02"
39,"NTT-DOCOMO-LABS-RED",0.36408,28,"Tue, 6 Jun 2023 15:03"
40,oh_keisho,0.36370,6,"Mon, 29 May 2023 13:41"
41,shinsaku,0.36329,7,"Fri, 9 Jun 2023 07:02"
42,liu_fang,0.36202,5,"Tue, 6 Jun 2023 18:50"
43,MLC,0.36014,15,"Sat, 27 May 2023 06:53"
44,datartist,0.35838,1,"Mon, 29 May 2023 21:43"
45,RecSys,0.35822,2,"Fri, 9 Jun 2023 03:20"
