Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
1,12601869,"MTH 101","2024-12-12 14:53:05",0.63881,141,conjuring92
2,12624966,CQYR,"2024-12-12 14:00:05",0.60480,255,"copasta,honglihang,wangqihanginthesky,yokuyama"
3,12937798,"Waseda Pochi","2024-12-12 14:21:19",0.60248,79,threerabbits
4,12686681,"takoi & charmq & kami","2024-12-12 09:27:51",0.60044,145,"charmq,kami634,takoihiraokazu"
5,12647413,"Ebi & ktr","2024-12-12 12:19:57",0.59765,110,"ebinan92,kcotton21"
6,12739725,"Nikita Babich","2024-12-12 14:52:36",0.58998,180,nikitababich
7,12696994,terekaerumasahmet,"2024-12-12 14:29:16",0.58693,405,"aerdem4,irrohas,kaerunantoka,tereka"
8,12680691,"Yannan Chen","2024-12-12 17:08:19",0.58160,192,yannan90
9,12674927,"Study Hard","2024-12-12 16:34:06",0.57114,352,"gjp2master,hinsay,lumoumou,zhenshitainanle,zuoyouzuo"
10,12758881,sayoulala,"2024-12-12 15:55:49",0.56616,125,sayoulala
11,12610193,H&Y&L,"2024-12-12 13:37:36",0.56496,264,"huangxiaojian,linbeo,yuchengzhi"
12,12603090,chizhu,"2024-12-12 18:41:29",0.56429,104,chizhu2018
13,12603398,qwenqwenqwenqwenqwenqwenqwenqw,"2024-12-12 12:53:48",0.56133,217,"abdullahmeda,benbla,nbroad,rashmibanthia"
14,12612503,"eeee (rsi)","2024-12-12 12:02:52",0.55874,159,"andreygalichin,danyaivanov,pipmos,rolf110"
15,12608061,iws,"2024-12-12 11:40:40",0.55392,271,tkyiws
16,12603752,mathminds,"2024-12-12 09:37:57",0.55306,252,"andy2709,hoanganhpham,locbaop,thanhhau097a"
17,12603070,B.Z.Z.Z.L.,"2024-12-12 14:17:35",0.55085,283,"lizhecheng,pingfan,tonyarobertson,xiaoqinglong1996,xuanmingzhang777"
18,12714446,"Ilya Novoselskiy","2024-12-12 12:54:33",0.54993,141,ilya9711nov
19,12727773,LRKBY,"2024-12-12 14:18:18",0.54805,365,"evgeniimaslov2,lihaoweicvch,roschildrui,xyzdivergence,yeoyunsianggeremie"
20,12627937,JIN,"2024-12-12 14:44:45",0.54603,33,jinssaa
21,12637212,Sohaib,"2024-12-12 06:59:47",0.54565,41,sohaibahmed9920
22,12729306,"Uesugi Erii","2024-12-12 14:43:30",0.54054,77,uesugierii
23,12678660,kpgggg,"2024-12-12 13:39:49",0.54046,91,kpgggg
24,12865114,zxc123cc,"2024-12-12 13:25:34",0.53926,46,zxc123cc
25,12880970,"Animal Party","2024-12-12 14:46:26",0.53831,183,"mktakizawa,rheinmetall,takai380,takuji"
26,12601993,monnu,"2024-12-12 09:33:17",0.53775,97,fuumin621
27,12734484,"租卡冲分 一天100","2024-12-12 15:54:38",0.53463,147,syzong
28,12949955,ShakeOrNotShake,"2024-12-10 15:43:43",0.53371,45,xbustc
29,12741398,卓世科技,"2024-12-12 11:56:16",0.53133,114,zhudong1949
30,12607824,"Jianing Wang","2024-12-12 11:56:26",0.53129,35,wjn1996
31,12635200,"Double Zeta","2024-12-12 17:25:14",0.53103,17,doublezeta
