Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
1,11836993,"Current | Energy | Voltage","2024-06-03 13:33:52",0.259368,335,"ammarali32,igorlashkov,jaafarmahmoud1,kashiwaba,vostankovich"
2,11838703,ALOC,"2024-06-03 22:56:05",0.255641,189,"gdchenhao,mayunchaoamap,sunnyykk,wangshengyi96"
3,12019860,VGGSfM,"2024-06-03 14:55:27",0.201193,118,jianyuanv
4,11830604,tmyok,"2024-06-03 12:20:33",0.196694,108,tmyok1984
5,11925593,"Khoa Ngo","2024-06-03 14:53:09",0.195214,50,nejicool96
6,11832029,ZJU3DV,"2024-06-03 14:19:17",0.191172,257,"ddlddl0,gggggg666,prevernae,ritianitian,xingyihezju3dv"
7,11850542,gosu,"2024-06-03 12:09:35",0.184598,97,"bladerunner2022,deloresc,madelynp,puyuzhou"
8,11830034,motono0223,"2024-06-03 14:05:41",0.180456,201,motono0223
9,12133447,"Dense Match","2024-06-03 06:16:11",0.179249,154,"junyixiang,ritatatavan,sunlights,swintransformer"
10,11868343,serendipity,"2024-06-03 15:00:13",0.178631,17,kirvk013
11,11835012,Kw,"2024-06-03 06:29:08",0.178508,128,gmhost
12,11839683,"Kzk Knmt","2024-06-03 13:04:10",0.177572,98,kzkknmt
13,11930054,"team son","2024-06-03 14:48:35",0.176176,111,"jooott,rsobtt,sakuai,shuichiurabe,sugupoko"
14,12021612,LOT,"2024-05-31 06:09:59",0.176009,76,"hancangmi,lozhang19,ronaldkhho,shyhandsome,suonion"
15,12099918,LighterGlue,"2024-06-03 14:27:00",0.174660,123,"boyian,gputurbo,guoleizeng,manualai,prmachine"
16,12022937,Kirderf,"2024-06-03 15:42:41",0.174038,194,kirderf
17,11913124,MaxChen303,"2024-06-03 12:54:50",0.173803,95,maxchen303
18,11840537,ns64,"2024-06-03 14:15:20",0.173201,225,ns6464
19,12102438,"Overfitting LB","2024-06-02 02:06:21",0.172898,103,"finalmvp,jiaruilicarrie,veisiaoiui,xujingyuan"
20,12101851,Flowwwwww,"2024-06-02 13:03:05",0.172851,152,"panzihao,renshengfaze,wangyxiang,yizhouliu1,ywen999"
21,12057554,tingyu516,"2024-06-03 13:35:33",0.171737,113,tingyu516
22,12102598,"The Imagers","2024-06-01 12:55:03",0.171652,142,"andrewhuang1781,k1sm3t1205,lefanyang01,xuwanchen,zhangxiangrui"
23,12017583,GreSheep,"2024-06-03 14:53:29",0.170905,19,"chiiwaka,greatgreysheep,kelonbon,renew66,zesisvivid"
24,12157924,realX,"2024-06-01 04:36:13",0.170602,115,"fanzengming,fongw123,junlaii,qqchina,sxggjb"
25,12103516,Aiocrz,"2024-06-01 12:26:10",0.170024,37,superbase
26,11830569,"Danial Zakaria","2024-06-03 16:55:38",0.169696,198,nartaa
27,11925328,"Huawei GTS - 3D/AI team","2024-06-03 16:00:06",0.169524,175,"aibluefish,qingtianzoo,sagaotj,wefewss,zizhuangwei"
28,12069410,"XYZ in IMC","2024-05-31 14:58:28",0.168372,139,"colearning,myillusionz,sunhaosen,xguanyu,zxtofuture"
